30,58
60,58
90,58
120,58
150,58
180,58
210,58
240,58
270,58
300,58
330,58
360,58
390,58
420,58
450,58
480,58
510,58
540,58
570,58
600,58
630,58
660,58
690,58
720,58
750,58
780,58
810,58
840,58
870,58
900,58
930,58
960,58
990,58
1020,58
1050,58
1080,58
1110,58
1140,58
1170,58
1200,58
1230,58
1260,58
1290,58
1320,58
1350,58
1380,58
1410,58
1440,58
1470,58
1500,58
1530,58
1560,58
1590,58
1620,58
1650,58
1680,58
1710,58
1740,58
1770,58
1800,58
1830,58
1860,58
1890,58
1920,58
1950,58
1980,58
2010,58
2040,58
2070,58
2100,58
2130,58
2160,58
2190,58
2220,58
2250,58
2280,58
2310,58
2340,58
2370,58
2400,58
2430,58
2460,58
2490,58
2520,58
2550,58
2580,58
2610,58
2640,50
2670,50
2700,50
2730,50
2760,50
2790,50
2820,50
2850,50
2880,50
2910,50
2940,50
2970,50
3000,50
3030,50
3060,50
3090,50
3120,50
3150,50
3180,50
3210,50
3240,50
3270,50
3300,50
3330,50
3360,50
3390,50
3420,50
3450,26
3480,26
3510,26
3540,26
3570,26
3600,26
3630,26
3660,26
3690,26
3720,26
3750,26
3780,26
3810,26
3840,18
3870,18
3900,18
3930,18
3960,18
3990,18
4020,18
4050,18
4080,18
4110,16
4140,16
4170,16
4200,16
4230,16
4260,16
4290,16
4320,16
4350,13
4380,13
4410,13
4440,13
4470,13
4500,13
4530,13
4560,13
4590,10
4620,10
4650,10
4680,10
4710,10
4740,10
4770,10
4800,9
4830,9
4860,9
4890,9
4920,9
4950,9
4980,9
5010,8
5040,8
5070,8
5100,8
5130,8
5160,8
5190,8
5220,8
5250,7
5280,7
5310,7
5340,7
5370,7
5400,7
5430,7
5460,7
5490,7
5520,7
5550,7
5580,7
5610,6
5640,6
5670,6
5700,6
5730,6
5760,6
5790,6
5820,5
5850,5
5880,5
5910,5
5940,5
5970,5
6000,5
6030,5
6060,5
6090,5
6120,5
6150,5
6180,5
6210,5
6240,5
6270,5
6300,5
6330,5
6360,5
6390,5
6420,4
6450,4
6480,4
6510,4
6540,4
6570,4
6600,4
6630,4
6660,4
6690,4
6720,4
6750,4
6780,4
6810,4
6840,4
6870,4
6900,4
6930,4
6960,4
6990,4
7020,4
7050,3
7080,3
7110,3
7140,3
7170,3
7200,3
7230,3
7260,3
7290,3
7320,3
7350,3
7380,3
7410,3
7440,3
7470,3
7500,3
7530,3
7560,3
7590,3
7620,3
7650,3
7680,3
7710,3
7740,3
7770,3
7800,3
7830,3
7860,3
7890,3
7920,3
7950,3
7980,3
8010,2
8040,2
8070,2
8100,2
8130,2
8160,2
8190,2
8220,2
8250,2
8280,2
8310,2
8340,2
8370,2
8400,2
8430,2
8460,2
8490,2
8520,2
8550,2
8580,2
8610,2
8640,2
8670,2
8700,2
8730,2
8760,2
8790,2
8820,2
8850,2
8880,1
8910,2
8940,2
8970,2
